JobId,JobType,Quantity,Due
0,F,6,21
1,E,2,12
2,B,6,10
3,B,5,13
4,A,3,8
5,E,2,3
6,J,3,16
7,D,5,16
8,E,5,10
9,C,4,13
10,F,3,20
11,M,6,18
12,J,4,7
13,M,3,3
14,A,4,25
15,B,6,7
16,D,6,7
17,D,5,5
18,J,6,25
19,E,3,19
20,A,3,12
21,F,6,10
22,E,6,11
23,B,3,4
24,E,3,3
25,A,4,12
26,I,2,12
27,D,6,19
28,D,3,23
29,E,2,10
30,B,5,9
31,E,5,17
32,E,3,14
33,D,2,4
34,E,2,16
35,I,2,2
36,E,5,17
37,L,4,20
38,M,5,24
39,E,5,25
40,E,2,8
41,B,2,11
42,J,6,23
43,G,2,4
44,D,3,25
45,E,4,5
46,E,6,20
47,J,4,15
48,F,2,22
49,D,2,17
50,D,5,15
51,B,3,12
52,G,6,19
53,A,3,4
54,B,2,2
55,B,5,11
56,F,3,11
57,A,5,21
58,B,4,16
59,F,3,24
60,B,6,22
61,C,6,9
62,K,5,16
63,A,6,19
64,C,3,14
65,D,5,8
66,I,2,8
67,B,4,6
68,D,6,14
69,A,3,23
70,B,5,7
71,A,2,7
72,L,6,10
73,C,4,16
74,B,4,24
75,B,4,18
76,I,3,4
77,C,2,22
78,F,4,13
79,D,6,22
80,C,3,12
81,I,5,15
82,B,3,21
83,B,5,25
84,K,5,23
85,D,2,17
86,A,3,24
87,D,4,9
88,D,5,6
89,D,3,17
90,B,2,16
91,E,3,9
92,C,3,5
93,M,4,25
94,B,6,22
95,I,5,20
96,D,3,21
97,M,5,21
98,H,2,23
99,F,2,9
